"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Corylus","Cupressaceae undiff.","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Huperzia","Juglans","Larix","Lycopodiaceae undiff.","Menyanthes","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Pteridium","Quercus","Salix","Tilia","Tsuga","Ulmus"
"76","20397","South Rhody peatland",46.565795,-86.0752,330.5,0,1,0,0,2,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,37,131,42,0,0,1,0,0,2,1
"77","20397","South Rhody peatland",46.565795,-86.0752,334.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,193,23,0,1,3,0,0,4,0
"78","20397","South Rhody peatland",46.565795,-86.0752,340.5,1,1,0,0,0,1,9,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,54,100,32,0,0,5,0,0,0,6
"79","20397","South Rhody peatland",46.565795,-86.0752,350.5,1,1,0,1,0,0,19,2,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,61,84,54,0,1,8,0,0,0,2
"80","20397","South Rhody peatland",46.565795,-86.0752,354.5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,56,109,39,0,0,6,0,0,0,0
"81","20397","South Rhody peatland",46.565795,-86.0752,360.5,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,62,65,36,2,0,9,0,0,0,7
"82","20397","South Rhody peatland",46.565795,-86.0752,364.5,0,1,0,2,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,67,79,54,1,1,7,0,0,0,5
"83","20397","South Rhody peatland",46.565795,-86.0752,370.5,0,0,0,0,0,1,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,64,84,56,1,0,10,0,0,0,1
"84","20397","South Rhody peatland",46.565795,-86.0752,374.5,0,1,1,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,61,97,34,0,0,3,1,0,0,1
"85","20397","South Rhody peatland",46.565795,-86.0752,380.5,2,1,1,0,0,1,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,42,91,31,0,0,10,0,0,1,3
"86","20397","South Rhody peatland",46.565795,-86.0752,381.5,2,1,1,1,1,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,70,86,56,2,0,4,0,0,1,0
"87","20397","South Rhody peatland",46.565795,-86.0752,389.5,0,0,1,1,1,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,4,53,73,40,1,0,14,0,0,0,4
"88","20397","South Rhody peatland",46.565795,-86.0752,394.5,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,68,74,42,0,0,7,1,0,0,2
"89","20397","South Rhody peatland",46.565795,-86.0752,399.5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,100,39,67,2,0,3,0,1,0,1
"90","20397","South Rhody peatland",46.565795,-86.0752,404.5,0,1,0,0,4,3,12,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,158,6,29,1,0,2,0,0,0,0
"91","20397","South Rhody peatland",46.565795,-86.0752,409.5,0,0,0,3,1,1,14,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,10,120,9,22,3,0,10,1,0,0,4
"92","20397","South Rhody peatland",46.565795,-86.0752,419.5,1,3,1,3,3,1,12,2,0,0,1,0,0,2,0,1,0,0,0,0,0,1,19,110,3,29,1,2,12,0,1,0,5
"93","20397","South Rhody peatland",46.565795,-86.0752,429.5,0,0,1,1,4,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,141,5,15,1,0,5,0,0,1,3
"94","20397","South Rhody peatland",46.565795,-86.0752,434.5,1,0,1,0,2,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,158,5,21,1,0,11,0,0,0,3
"95","20397","South Rhody peatland",46.565795,-86.0752,439.5,1,0,0,2,2,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,9,102,6,47,0,0,12,0,0,0,2
"96","20397","South Rhody peatland",46.565795,-86.0752,449.5,1,0,1,1,6,0,5,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,27,90,4,56,2,0,6,0,0,0,5
"97","20397","South Rhody peatland",46.565795,-86.0752,459.5,0,1,0,4,9,0,6,0,0,3,2,0,0,2,0,0,0,0,0,1,0,1,104,82,1,28,0,0,15,2,0,0,2
"98","20397","South Rhody peatland",46.565795,-86.0752,464.5,0,0,0,0,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,50,34,0,13,0,0,11,0,0,0,1
